ppm,intensity
12.31805112,1.02626E-06
12.31776482,1.36756E-07
12.31747851,-1.163E-06
12.3171922,6.84394E-07
12.3169059,4.41818E-06
12.31661959,5.35868E-06
12.31633328,2.01447E-06
12.31604698,-1.67854E-06
12.31576067,-1.55143E-06
12.31547436,1.38007E-06
12.31518806,2.63139E-06
12.31490175,5.20544E-07
12.31461544,-2.00628E-06
12.31432914,-2.25989E-06
12.31404283,-1.30699E-06
12.31375652,-7.54411E-07
12.31347022,5.19712E-07
12.31318391,2.97186E-06
12.31289761,2.88343E-06
12.3126113,-2.63873E-06
12.31232499,-9.15713E-06
12.31203869,-9.39204E-06
12.31175238,-3.3987E-06
12.31146607,1.96601E-06
12.31117977,3.44948E-06
12.31089346,4.24569E-06
12.31060715,5.80583E-06
12.31032085,4.87024E-06
12.31003454,1.32336E-06
12.30974823,9.79513E-07
12.30946193,5.82731E-06
12.30917562,8.55009E-06
12.30888931,2.98372E-06
12.30860301,-5.58778E-06
12.3083167,-7.62414E-06
12.30803039,-2.62778E-06
12.30774409,2.14848E-06
12.30745778,3.2996E-06
12.30717148,3.68433E-06
12.30688517,4.61081E-06
12.30659886,3.59518E-06
12.30631256,6.58321E-07
12.30602625,-8.40099E-08
12.30573994,2.62505E-06
12.30545364,3.99328E-06
12.30516733,3.43783E-08
12.30488102,-5.95117E-06
12.30459472,-7.13859E-06
12.30430841,-1.88237E-06
12.3040221,4.14545E-06
12.3037358,4.68296E-06
12.30344949,1.41006E-07
12.30316318,-3.2172E-06
12.30287688,-1.34919E-06
12.30259057,2.24744E-06
12.30230426,1.16991E-06
12.30201796,-5.3649E-06
12.30173165,-1.17362E-05
12.30144535,-1.31127E-05
12.30115904,-9.89217E-06
12.30087273,-5.02036E-06
12.30058643,-9.20066E-07
12.30030012,2.90704E-07
12.30001381,-2.18666E-06
12.29972751,-5.09975E-06
12.2994412,-3.26772E-06
12.29915489,3.75361E-06
12.29886859,1.03283E-05
12.29858228,1.13775E-05
12.29829597,7.112E-06
12.29800967,4.57123E-07
12.29772336,-5.89963E-06
12.29743705,-8.60331E-06
12.29715075,-4.7836E-06
12.29686444,3.25854E-06
12.29657813,8.77727E-06
12.29629183,8.7853E-06
12.29600552,7.47207E-06
12.29571922,8.54037E-06
12.29543291,8.71647E-06
12.2951466,3.35365E-06
12.2948603,-4.96609E-06
12.29457399,-8.83193E-06
12.29428768,-5.70084E-06
12.29400138,-6.15317E-07
12.29371507,7.76327E-07
12.29342876,-1.53048E-06
12.29314246,-3.65016E-06
12.29285615,-3.95043E-06
12.29256984,-5.57862E-06
12.29228354,-1.185E-05
12.29199723,-1.9843E-05
12.29171092,-2.17733E-05
12.29142462,-1.44625E-05
12.29113831,-3.97267E-06
12.290852,2.40029E-06
12.2905657,4.99182E-06
12.29027939,8.03368E-06
12.28999308,1.11873E-05
12.28970678,1.143E-05
12.28942047,1.00909E-05
12.28913417,1.02662E-05
12.28884786,9.74883E-06
12.28856155,4.9364E-06
12.28827525,-2.9069E-07
12.28798894,1.14762E-06
12.28770263,7.58857E-06
12.28741633,1.04388E-05
12.28713002,7.24713E-06
12.28684371,3.47263E-06
12.28655741,1.91297E-06
12.2862711,5.75957E-07
12.28598479,8.16136E-07
12.28569849,6.51031E-06
12.28541218,1.41422E-05
12.28512587,1.4885E-05
12.28483957,8.79539E-06
12.28455326,6.18444E-06
12.28426695,1.15937E-05
12.28398065,1.65485E-05
12.28369434,1.27132E-05
12.28340804,3.50266E-06
12.28312173,-2.41741E-06
12.28283542,-2.09145E-06
12.28254912,1.97755E-06
