ppm,Intensity
10.82355082,9.01584E-07
10.82332153,-3.27621E-07
10.82309224,-5.73984E-07
10.82286294,1.55911E-06
10.82263365,4.04372E-06
10.82240436,4.1413E-06
10.82217507,2.46461E-06
10.82194577,1.47656E-06
10.82171648,1.92064E-06
10.82148719,3.04484E-06
10.82125789,4.07466E-06
10.8210286,4.06953E-06
10.82079931,2.70062E-06
10.82057001,1.39462E-06
10.82034072,1.4748E-06
10.82011143,2.26996E-06
10.81988213,3.081E-06
10.81965284,4.62858E-06
10.81942355,6.51163E-06
10.81919426,6.43098E-06
10.81896496,4.13242E-06
10.81873567,2.70053E-06
10.81850638,3.69707E-06
10.81827708,4.55835E-06
10.81804779,3.34933E-06
10.8178185,2.45823E-06
10.8175892,4.19933E-06
10.81735991,6.02192E-06
10.81713062,4.37996E-06
10.81690132,9.37432E-07
10.81667203,2.19703E-07
10.81644274,2.67063E-06
10.81621345,4.64932E-06
10.81598415,4.31673E-06
10.81575486,3.22331E-06
10.81552557,2.62763E-06
10.81529627,2.12872E-06
10.81506698,1.80587E-06
10.81483769,2.42237E-06
10.81460839,3.41081E-06
10.8143791,3.35335E-06
10.81414981,2.51492E-06
10.81392051,2.51519E-06
10.81369122,3.5004E-06
10.81346193,3.89909E-06
10.81323263,3.10871E-06
10.81300334,2.52064E-06
10.81277405,3.51928E-06
10.81254476,5.52794E-06
10.81231546,6.43937E-06
10.81208617,5.05271E-06
10.81185688,2.86297E-06
10.81162758,2.27796E-06
10.81139829,3.14021E-06
10.811169,3.1386E-06
10.8109397,1.71793E-06
10.81071041,8.75458E-07
10.81048112,1.91348E-06
10.81025182,3.97503E-06
10.81002253,5.70865E-06
10.80979324,6.26634E-06
10.80956395,5.15922E-06
10.80933465,2.81483E-06
10.80910536,7.75558E-07
10.80887607,3.72146E-07
10.80864677,1.51116E-06
10.80841748,2.89502E-06
10.80818819,3.14679E-06
10.80795889,1.95057E-06
10.8077296,2.46213E-07
10.80750031,-7.89306E-07
10.80727101,-7.31814E-07
10.80704172,3.56579E-08
10.80681243,8.83033E-07
10.80658314,1.73346E-06
10.80635384,3.13361E-06
10.80612455,4.83241E-06
10.80589526,5.26093E-06
10.80566596,3.90073E-06
10.80543667,2.63825E-06
10.80520738,2.86366E-06
10.80497808,3.26699E-06
10.80474879,2.476E-06
10.8045195,1.39768E-06
10.8042902,1.11361E-06
10.80406091,9.62107E-07
10.80383162,3.49024E-08
10.80360233,-1.52579E-06
10.80337303,-3.03545E-06
10.80314374,-3.47614E-06
10.80291445,-2.11388E-06
10.80268515,-6.29736E-08
10.80245586,6.52167E-07
10.80222657,1.40857E-07
10.80199727,1.29065E-07
10.80176798,6.31652E-07
10.80153869,4.42273E-07
10.80130939,1.98073E-07
10.8010801,1.25864E-06
10.80085081,2.387E-06
10.80062152,1.17041E-06
10.80039222,-1.85963E-06
10.80016293,-3.5138E-06
10.79993364,-2.04513E-06
10.79970434,1.10019E-06
10.79947505,3.4585E-06
10.79924576,4.06788E-06
10.79901646,3.74722E-06
10.79878717,3.7905E-06
10.79855788,4.66202E-06
10.79832858,5.48124E-06
10.79809929,4.82235E-06
10.79787,2.63923E-06
10.79764071,9.00802E-07
10.79741141,1.21716E-06
10.79718212,2.65978E-06
10.79695283,3.36673E-06
10.79672353,3.18999E-06
10.79649424,3.21884E-06
10.79626495,3.83107E-06
10.79603565,4.40455E-06
10.79580636,4.15403E-06
10.79557707,3.07569E-06
10.79534777,2.48892E-06
10.79511848,3.54977E-06
10.79488919,5.06856E-06
10.79465989,4.82366E-06
10.7944306,2.90343E-06
10.79420131,1.42555E-06
10.79397202,1.44971E-06
10.79374272,2.15311E-06
10.79351343,2.30566E-06
10.79328414,1.4987E-06
10.79305484,6.23106E-07
10.79282555,7.86487E-07
10.79259626,1.36896E-06
10.79236696,1.06947E-06
10.79213767,7.87034E-07
10.79190838,2.20864E-06
10.79167908,4.06847E-06
10.79144979,3.70774E-06
10.7912205,1.46189E-06
10.79099121,-1.37661E-07
10.79076191,-2.02195E-07
10.79053262,3.4005E-07
10.79030333,7.67017E-07
10.79007403,7.642E-07
10.78984474,1.23884E-07
10.78961545,-6.33082E-07
10.78938615,-4.43276E-07
10.78915686,1.04669E-06
10.78892757,3.02482E-06
10.78869827,4.3599E-06
10.78846898,4.56346E-06
10.78823969,3.86451E-06
10.7880104,2.76135E-06
10.7877811,1.97693E-06
10.78755181,2.22025E-06
10.78732252,3.07199E-06
10.78709322,3.02109E-06
10.78686393,1.66189E-06
10.78663464,5.69732E-07
10.78640534,1.06462E-06
10.78617605,2.59039E-06
10.78594676,3.83311E-06
10.78571746,4.01409E-06
10.78548817,3.06342E-06
10.78525888,1.60784E-06
10.78502959,5.07299E-07
10.78480029,1.08541E-07
10.784571,4.00034E-07
10.78434171,1.21292E-06
10.78411241,1.76825E-06
10.78388312,1.42712E-06
10.78365383,1.11159E-06
10.78342453,2.20544E-06
10.78319524,4.28494E-06
10.78296595,5.61513E-06
10.78273665,5.1711E-06
10.78250736,3.18517E-06
10.78227807,1.01309E-06
10.78204878,5.25824E-07
10.78181948,1.91874E-06
10.78159019,3.09306E-06
10.7813609,2.95818E-06
10.7811316,3.11293E-06
10.78090231,4.38312E-06
10.78067302,4.82869E-06
10.78044372,3.1588E-06
10.78021443,8.73486E-07
10.77998514,-4.57764E-07
10.77975584,-9.26992E-07
